Table 1.
        Incidence rates of CD and UC in selected populations.
Country,Region,Study period,CD incidence (105),UC incidence (105)
Eastern Europe
Czech Republic20,North Bohemia,1978,NA,1.3
Estonia21,Tartu County,1993–1998,1.4,1.7
Hungary24,Western Hungary,2002–2006,8.9,11.9
Romania22,Nationwide,2002–2003,0.5,0.97
Southern/Central Europe
Belgium132,Liege,1993–1996,4.5,3.6
Croatia25,Primorsko-goranska County,2000–2004,6.5,4.6
Croatia133 and 134,Zagreb,1980–1989,0.7,1.5
France135,Northern France,2006–2007,6.7,3.4
Germany136,Oberpfalz,2004–2006,6.6,3.9
Greece137,North-western Greece,1983–2005,2.7,0.9
Italy138,Florence,1990–1992,3.4,9.6
Italy139,8 Italian cities,1989–1992,2.3,5.2
The Netherlands140,South Limburg,1991–2003,6.2,7.7
Spain141,Navarra,2001–2003,5.9,9.6
Spain142,Oviedo,2000–2002,7.5,9.1
Spain143,Madrid,2003–2005,7.3,7.1
Northern Europe
Denmark3 and 4,Copenhagen county,1962–1987,4.1,8.1
Denmark5,Copenhagen county,2003–2005,8.6,13.4
Denmark6,North Jutland,1978–2002,6.7,12.2
Faroe Islands7,Nationwide,1981–1988,3.6,20.3
Finland8,Tampere,1986–1999,7.2,16.5
Iceland9,Nationwide,1990–1994,5.5,16.5
Norway10 and 11,Southeast Norway,1990–1993,5.8,13.6
Sweden12,Stockholm county,1990–2001,8.3,NA
Sweden13 and 14,Örebro,1963–1987,6.1,13.1
Sweden15,Uppsala,2005–2007,NA,17.5
United Kingdom16,Derby,1991–1992,10.6,NA
United Kingdom17,North Tees,1990–1994,8.3,13.9
United Kingdom18,Cardiff,1996–2005,6.6,NA
Northern Europe26,8 Northern European cities,1991–1993,6.3,11.4
Iceland<comma> Reykjavik,,8.2,24.3
Norway<comma> Oslo,,6.9,15.6
Denmark<comma> Copenhagen,,6.6,10.0
Ireland<comma> Dublin,,5.9,14.8
UK<comma> Leicester (nonimmigrants),,3.2,9.2
UK<comma> Leicester (immigrants),,4.7,15.1
The Netherlands<comma> Maastricht,,7.7,13.1
Germany<comma> Essen,,3.5,4.3
France<comma> Amiens,,8.1,5.6
Southern Europe26,12 Northern European cities,1991–1993,3.6,8.0
Italy<comma> Milan-Varese,,3.2,10.0
Italy<comma> Crema-Cremona,,2.7,7.5
Italy<comma> Reggio Emilia,,4.0,7.5
Italy<comma> Florence,,2.7,8.1
Italy<comma> Palermo<comma> Sicily,,5.8,8.5
Spain<comma> Vigo,,4.8,7.0
Spain<comma> Sabadell,,4.9,9.0
Portugal<comma> Braga,,3.7,5.5
Portugal<comma> Almada,,2.3,1.7
Greece<comma> Northwest Greece,,1.0,8.5
Greece<comma> Heraklion<comma> Crete,,3.9,16.6
Israel<comma> Beer Sheva,,4.3,8.5
